date,datetime,SACTMIN,SPOSTMIN,weekday,day_name
2017-08-17,2017-08-17 23:57:00,31.0,,4,Thursday
2017-08-18,2017-08-18 08:50:10,16.0,,5,Friday
2017-08-18,2017-08-18 09:00:01,30.0,,5,Friday
2017-08-18,2017-08-18 09:02:37,92.0,,5,Friday
2017-08-18,2017-08-18 09:03:45,124.0,,5,Friday
2017-08-18,2017-08-18 09:08:40,29.0,,5,Friday
2017-08-18,2017-08-18 20:58:16,103.0,,5,Friday
2017-08-18,2017-08-18 21:02:19,106.0,,5,Friday
2017-08-18,2017-08-18 22:13:13,87.0,,5,Friday
2017-08-19,2017-08-19 07:52:02,70.0,,6,Saturday
2017-08-19,2017-08-19 07:59:30,30.0,,6,Saturday
2017-08-19,2017-08-19 12:27:16,103.0,,6,Saturday
2017-08-19,2017-08-19 22:53:56,68.0,,6,Saturday
2017-08-20,2017-08-20 09:08:19,104.0,,7,Sunday
2017-08-20,2017-08-20 11:39:09,56.0,,7,Sunday
2017-08-20,2017-08-20 12:34:04,80.0,,7,Sunday
2017-08-20,2017-08-20 15:17:31,81.0,,7,Sunday
2017-08-20,2017-08-20 20:29:34,48.0,,7,Sunday
2017-08-21,2017-08-21 08:14:09,56.0,,1,Monday
2017-08-21,2017-08-21 08:15:03,116.0,,1,Monday
2017-08-21,2017-08-21 08:17:54,119.0,,1,Monday
2017-08-21,2017-08-21 09:02:18,129.0,,1,Monday
2017-08-22,2017-08-22 18:10:50,137.0,,2,Tuesday
2017-08-22,2017-08-22 19:45:29,104.0,,2,Tuesday
2017-08-23,2017-08-23 08:50:28,119.0,,3,Wednesday
2017-08-23,2017-08-23 09:18:02,139.0,,3,Wednesday
2017-08-23,2017-08-23 12:22:30,108.0,,3,Wednesday
2017-08-26,2017-08-26 07:49:39,103.0,,6,Saturday
2017-08-26,2017-08-26 08:01:21,109.0,,6,Saturday
2017-08-26,2017-08-26 08:01:35,100.0,,6,Saturday
2017-08-26,2017-08-26 08:06:33,140.0,,6,Saturday
2017-08-27,2017-08-26 21:12:53,61.0,,7,Sunday
2017-08-27,2017-08-27 09:15:09,20.0,,7,Sunday
2017-08-27,2017-08-27 13:39:21,115.0,,7,Sunday
2017-08-28,2017-08-28 08:13:39,108.0,,1,Monday
2017-08-28,2017-08-28 13:48:34,119.0,,1,Monday
2017-08-28,2017-08-28 15:47:01,97.0,,1,Monday
2017-08-28,2017-08-28 20:01:42,93.0,,1,Monday
2017-08-29,2017-08-29 08:52:28,88.0,,2,Tuesday
2017-08-29,2017-08-29 09:04:51,72.0,,2,Tuesday
2017-08-29,2017-08-29 11:38:52,108.0,,2,Tuesday
2017-08-30,2017-08-30 09:25:37,95.0,,3,Wednesday
2017-08-30,2017-08-30 10:58:48,61.0,,3,Wednesday
2017-08-30,2017-08-30 13:39:43,90.0,,3,Wednesday
2017-08-31,2017-08-31 08:52:10,26.0,,4,Thursday
